epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,4.72115,1.0691,0.16129,1,1.14204,6.668e-05,6.668e-05,6.668e-05
2,9.26357,0.66267,0.48387,1,0.75461,0.000148545,0.000148545,0.000148545
3,13.5277,0.20778,0.83871,1,0.37754,0.000228759,0.000228759,0.000228759
4,18.6086,0.0424,1,1,0.18,0.000307323,0.000307323,0.000307323
5,24.6408,0.01611,1,1,0.06129,0.000384237,0.000384237,0.000384237
6,30.6791,0.0062,1,1,0.02645,0.0004595,0.0004595,0.0004595
7,37.0741,0.00164,1,1,0.00968,0.000533113,0.000533113,0.000533113
8,43.1222,0.00082,1,1,0.00522,0.000605076,0.000605076,0.000605076
9,49.2397,0.00042,1,1,0.00198,0.000675388,0.000675388,0.000675388
10,53.4454,0.00023,1,1,0.00124,0.00074405,0.00074405,0.00074405
11,57.3769,0.00024,1,1,0.00075,0.000811062,0.000811062,0.000811062
12,62.8916,0.00011,1,1,0.00037,0.000876424,0.000876424,0.000876424
13,68.5439,0.00016,1,1,0.00029,0.000940135,0.000940135,0.000940135
14,74.1525,7e-05,1,1,0.00014,0.0010022,0.0010022,0.0010022
15,79.8486,5e-05,1,1,8e-05,0.00106261,0.00106261,0.00106261
16,84.9063,0.0001,1,1,5e-05,0.00112137,0.00112137,0.00112137
17,89.7114,5e-05,1,1,4e-05,0.00117848,0.00117848,0.00117848
18,93.9183,1e-05,1,1,3e-05,0.00123394,0.00123394,0.00123394
19,97.9832,1e-05,1,1,3e-05,0.00128774,0.00128774,0.00128774
20,102.021,1e-05,1,1,2e-05,0.0013399,0.0013399,0.0013399
21,106,1e-05,1,1,2e-05,0.00133693,0.00133693,0.00133693
22,109.999,2e-05,1,1,2e-05,0.00132043,0.00132043,0.00132043
23,114.385,1e-05,1,1,2e-05,0.00130393,0.00130393,0.00130393
24,119.246,3e-05,1,1,1e-05,0.00128742,0.00128742,0.00128742
25,123.556,1e-05,1,1,1e-05,0.00127092,0.00127092,0.00127092
26,127.501,1e-05,1,1,1e-05,0.00125442,0.00125442,0.00125442
27,131.926,1e-05,1,1,1e-05,0.00123791,0.00123791,0.00123791
28,136.8,1e-05,1,1,1e-05,0.00122141,0.00122141,0.00122141
29,141.479,1e-05,1,1,1e-05,0.00120491,0.00120491,0.00120491
30,145.838,1e-05,1,1,1e-05,0.0011884,0.0011884,0.0011884
31,149.925,1e-05,1,1,1e-05,0.0011719,0.0011719,0.0011719
32,154.233,1e-05,1,1,1e-05,0.0011554,0.0011554,0.0011554
