epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.5068,2.93134,4.91647,2.55119,0,0,0,0,2.93889,4.9388,2.7937,1.668e-05,1.668e-05,1.668e-05
2,91.3765,2.91886,4.99969,2.58284,0,0,0,0,2.82312,4.90582,2.66287,3.85347e-05,3.85347e-05,3.85347e-05
3,132.998,2.72631,4.83603,2.38217,0,0,0,0,2.59144,4.84685,2.46357,5.9949e-05,5.9949e-05,5.9949e-05
4,175.182,2.54602,4.78738,2.22725,0,0,0,0,2.3407,4.74971,2.24429,8.0923e-05,8.0923e-05,8.0923e-05
5,215.274,2.33523,4.69526,2.12099,0,0,0,0,2.20345,4.71541,2.15257,0.000101457,0.000101457,0.000101457
6,256.488,2.1123,4.60439,1.98138,0,0,0,0,2.05661,4.66727,2.04053,0.00012155,0.00012155,0.00012155
7,298.903,2.00782,4.52947,1.98317,0,0,0,0,1.89495,4.60828,1.90122,0.000141203,0.000141203,0.000141203
8,339.778,2.02778,4.36766,1.89805,0.31818,0.09859,0.18371,0.09584,1.80365,4.51196,1.73867,0.000160415,0.000160415,0.000160415
9,381.249,1.89573,4.06411,1.71637,0.384,0.67606,0.50867,0.17096,1.84611,4.31987,1.57829,0.000179188,0.000179188,0.000179188
10,423.287,1.9042,3.80591,1.60014,0.20345,0.83099,0.62861,0.22535,1.89909,4.2096,1.53749,0.00019752,0.00019752,0.00019752
11,464.549,1.90317,3.48782,1.56461,0.14623,0.87324,0.72745,0.24175,1.87682,4.1008,1.49795,0.000215411,0.000215411,0.000215411
12,505.399,1.9406,3.24628,1.61572,0.11696,0.84507,0.6826,0.21537,1.8934,4.00514,1.60815,0.000232862,0.000232862,0.000232862
13,547.472,1.97175,2.82772,1.71781,0.1167,0.91549,0.69813,0.22245,1.94738,3.77748,1.71601,0.000249873,0.000249873,0.000249873
14,589.05,2.05147,2.61421,1.78726,0.11111,0.92958,0.75318,0.23423,1.9764,3.62518,1.71793,0.000266444,0.000266444,0.000266444
15,630.786,1.9948,2.46575,1.75337,0.91,0.42734,0.80682,0.27023,2.00688,3.38515,1.69249,0.000282574,0.000282574,0.000282574
16,671.774,1.93924,2.34406,1.70159,0.87956,0.30862,0.76514,0.26787,2.0029,3.34047,1.65512,0.000298263,0.000298263,0.000298263
17,712.719,1.98397,2.2815,1.77632,0.8138,0.33803,0.67314,0.23842,2.06106,3.37492,1.73615,0.000313513,0.000313513,0.000313513
18,753.945,1.91271,2.25794,1.76278,0.95616,0.40845,0.79468,0.25409,2.08855,3.17879,1.79123,0.000328322,0.000328322,0.000328322
19,794.223,1.94376,2.1987,1.78766,0.86567,0.54465,0.80335,0.29723,1.99869,2.92639,1.71552,0.000342691,0.000342691,0.000342691
20,835.922,1.90864,1.99926,1.72553,0.82932,0.61596,0.77806,0.32857,1.93664,2.76534,1.68188,0.000356619,0.000356619,0.000356619
21,878.065,1.93346,1.90534,1.74967,0.79983,0.5628,0.75327,0.30421,2.00725,2.77024,1.76756,0.000370107,0.000370107,0.000370107
