epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.70686,1.09645,0.09524,1,1.62082,1.667e-05,1.667e-05,1.667e-05
2,5.93704,1.0514,0.09524,1,1.45937,4.95149e-05,4.95149e-05,4.95149e-05
3,7.15972,0.9266,0.09524,1,1.26214,8.16997e-05,8.16997e-05,8.16997e-05
4,8.29531,0.70389,0.14286,1,1.03272,0.000113224,0.000113224,0.000113224
5,9.63611,0.48478,0.33333,1,0.78495,0.000144089,0.000144089,0.000144089
6,10.8734,0.29007,0.7619,1,0.53547,0.000174293,0.000174293,0.000174293
7,12.1155,0.16485,0.85714,1,0.36777,0.000203837,0.000203837,0.000203837
8,13.4825,0.08504,0.90476,1,0.25025,0.000232722,0.000232722,0.000232722
9,14.7659,0.03992,0.90476,1,0.20523,0.000260946,0.000260946,0.000260946
10,16.0253,0.02149,0.95238,1,0.16578,0.000288509,0.000288509,0.000288509
11,17.2908,0.01711,1,1,0.12977,0.000315413,0.000315413,0.000315413
12,19.0245,0.01152,1,1,0.10095,0.000341657,0.000341657,0.000341657
13,20.9697,0.00664,1,1,0.0824,0.00036724,0.00036724,0.00036724
14,23.1602,0.00609,1,1,0.06601,0.000392163,0.000392163,0.000392163
15,25.1716,0.00323,1,1,0.0481,0.000416427,0.000416427,0.000416427
16,27.1177,0.003,1,1,0.0375,0.00044003,0.00044003,0.00044003
17,29.3212,0.00118,1,1,0.0312,0.000462973,0.000462973,0.000462973
18,31.6109,0.00073,1,1,0.0236,0.000485255,0.000485255,0.000485255
19,33.6581,0.00056,1,1,0.01823,0.000506878,0.000506878,0.000506878
20,35.6745,0.00035,1,1,0.01401,0.000527841,0.000527841,0.000527841
21,37.85,0.00066,1,1,0.0102,0.000548143,0.000548143,0.000548143
22,39.9807,0.00037,1,1,0.00901,0.000567785,0.000567785,0.000567785
23,41.9199,0.00036,1,1,0.00671,0.000586767,0.000586767,0.000586767
24,43.8234,0.00011,1,1,0.00538,0.000605089,0.000605089,0.000605089
25,45.595,0.0001,1,1,0.00458,0.000622751,0.000622751,0.000622751
26,47.5019,6e-05,1,1,0.00397,0.000639753,0.000639753,0.000639753
27,49.3727,8e-05,1,1,0.00318,0.000656095,0.000656095,0.000656095
28,51.2567,8e-05,1,1,0.00318,0.000671776,0.000671776,0.000671776
29,53.2193,6e-05,1,1,0.00272,0.000686797,0.000686797,0.000686797
30,55.1195,6e-05,1,1,0.00239,0.000701159,0.000701159,0.000701159
31,57.0661,0.00011,1,1,0.00239,0.00071486,0.00071486,0.00071486
32,59.1923,0.00045,1,1,0.00193,0.000727901,0.000727901,0.000727901
33,61.0562,7e-05,1,1,0.00165,0.000740281,0.000740281,0.000740281
34,62.9512,4e-05,1,1,0.00165,0.000752002,0.000752002,0.000752002
35,64.8245,4e-05,1,1,0.0015,0.000763063,0.000763063,0.000763063
36,66.7499,7e-05,1,1,0.00154,0.000773463,0.000773463,0.000773463
37,68.6298,5e-05,1,1,0.00154,0.000783203,0.000783203,0.000783203
38,70.6819,4e-05,1,1,0.0013,0.000792283,0.000792283,0.000792283
39,72.8013,0.0001,1,1,0.0011,0.000800703,0.000800703,0.000800703
40,74.6947,2e-05,1,1,0.0011,0.000808463,0.000808463,0.000808463
41,76.5835,1e-05,1,1,0.00118,0.000815563,0.000815563,0.000815563
42,78.3557,4e-05,1,1,0.00093,0.000822003,0.000822003,0.000822003
43,79.7585,2e-05,1,1,0.00093,0.000827782,0.000827782,0.000827782
44,81.1152,2e-05,1,1,0.00098,0.000832902,0.000832902,0.000832902
45,82.521,3e-05,1,1,0.00098,0.000837361,0.000837361,0.000837361
46,83.8661,1e-05,1,1,0.00084,0.00084116,0.00084116,0.00084116
47,85.0611,1e-05,1,1,0.00084,0.000844299,0.000844299,0.000844299
48,86.2942,1e-05,1,1,0.00075,0.000846778,0.000846778,0.000846778
49,87.5056,2e-05,1,1,0.00075,0.000848596,0.000848596,0.000848596
50,88.7509,9e-05,1,1,0.00075,0.000849755,0.000849755,0.000849755
51,89.9027,3e-05,1,1,0.00075,0.000841835,0.000841835,0.000841835
52,91.1184,3e-05,1,1,0.00083,0.000825332,0.000825332,0.000825332
53,92.2301,4e-05,1,1,0.00083,0.000808828,0.000808828,0.000808828
54,93.4225,4e-05,1,1,0.00071,0.000792325,0.000792325,0.000792325
55,94.6737,1e-05,1,1,0.00071,0.000775822,0.000775822,0.000775822
56,95.8556,2e-05,1,1,0.00073,0.000759318,0.000759318,0.000759318
57,97.0633,3e-05,1,1,0.00073,0.000742815,0.000742815,0.000742815
58,98.2878,1e-05,1,1,0.00072,0.000726312,0.000726312,0.000726312
59,99.4615,1e-05,1,1,0.00072,0.000709809,0.000709809,0.000709809
60,100.779,2e-05,1,1,0.00066,0.000693305,0.000693305,0.000693305
61,102.061,1e-05,1,1,0.00066,0.000676802,0.000676802,0.000676802
62,103.532,2e-05,1,1,0.00095,0.000660299,0.000660299,0.000660299
63,104.934,1e-05,1,1,0.00095,0.000643795,0.000643795,0.000643795
64,106.202,1e-05,1,1,0.0009,0.000627292,0.000627292,0.000627292
65,107.543,3e-05,1,1,0.0009,0.000610789,0.000610789,0.000610789
66,109.468,6e-05,1,1,0.00077,0.000594286,0.000594286,0.000594286
67,111.268,1e-05,1,1,0.00077,0.000577782,0.000577782,0.000577782
68,113.11,2e-05,1,1,0.00061,0.000561279,0.000561279,0.000561279
69,114.892,1e-05,1,1,0.00061,0.000544776,0.000544776,0.000544776
70,116.692,1e-05,1,1,0.00056,0.000528272,0.000528272,0.000528272
71,118.392,1e-05,1,1,0.00056,0.000511769,0.000511769,0.000511769
72,120.262,7e-05,1,1,0.00052,0.000495266,0.000495266,0.000495266
73,122.121,1e-05,1,1,0.00052,0.000478762,0.000478762,0.000478762
74,124.1,2e-05,1,1,0.0006,0.000462259,0.000462259,0.000462259
75,126.544,4e-05,1,1,0.0006,0.000445756,0.000445756,0.000445756
76,129.136,1e-05,1,1,0.0004,0.000429253,0.000429253,0.000429253
77,131.673,1e-05,1,1,0.0004,0.000412749,0.000412749,0.000412749
78,134.291,1e-05,1,1,0.00046,0.000396246,0.000396246,0.000396246
79,136.982,2e-05,1,1,0.00046,0.000379743,0.000379743,0.000379743
80,139.61,1e-05,1,1,0.00039,0.000363239,0.000363239,0.000363239
81,142.262,2e-05,1,1,0.00039,0.000346736,0.000346736,0.000346736
82,145.012,0,1,1,0.0005,0.000330233,0.000330233,0.000330233
83,147.473,1e-05,1,1,0.0005,0.000313729,0.000313729,0.000313729
84,150.275,1e-05,1,1,0.00053,0.000297226,0.000297226,0.000297226
85,152.717,1e-05,1,1,0.00053,0.000280723,0.000280723,0.000280723
86,155.479,1e-05,1,1,0.00049,0.00026422,0.00026422,0.00026422
87,157.859,1e-05,1,1,0.00049,0.000247716,0.000247716,0.000247716
88,159.787,4e-05,1,1,0.00054,0.000231213,0.000231213,0.000231213
89,161.398,2e-05,1,1,0.00054,0.00021471,0.00021471,0.00021471
90,163.158,1e-05,1,1,0.00073,0.000198206,0.000198206,0.000198206
91,164.817,2e-05,1,1,0.00073,0.000181703,0.000181703,0.000181703
92,166.762,3e-05,1,1,0.00064,0.0001652,0.0001652,0.0001652
93,169.285,1e-05,1,1,0.00064,0.000148696,0.000148696,0.000148696
94,171.673,3e-05,1,1,0.00051,0.000132193,0.000132193,0.000132193
95,174.132,2e-05,1,1,0.00051,0.00011569,0.00011569,0.00011569
96,176.584,1e-05,1,1,0.00048,9.91865e-05,9.91865e-05,9.91865e-05
97,178.933,2e-05,1,1,0.00048,8.26832e-05,8.26832e-05,8.26832e-05
98,181.395,4e-05,1,1,0.00042,6.61799e-05,6.61799e-05,6.61799e-05
99,183.785,1e-05,1,1,0.00042,4.96766e-05,4.96766e-05,4.96766e-05
100,186.349,1e-05,1,1,0.00045,3.31733e-05,3.31733e-05,3.31733e-05
