epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,127.499,1.94469,4.58076,1.83829,0.00908,0.12121,0.02351,0.00712,2.24279,4.92369,2.1223,3.076e-05,3.076e-05,3.076e-05
2,350.6,2.0256,4.56791,1.94525,0.0267,0.16667,0.05637,0.03324,2.14531,4.74708,1.8125,6.85248e-05,6.85248e-05,6.85248e-05
3,491.059,1.89642,4.05745,1.66436,0.03869,0.19697,0.08846,0.04465,2.08821,4.7262,1.65061,0.000105528,0.000105528,0.000105528
4,622.355,2.00401,3.68994,1.75162,0.06234,0.37879,0.13719,0.07364,1.97583,4.5783,1.51866,0.000141771,0.000141771,0.000141771
5,703.579,1.91001,3.32565,1.5974,0.05566,0.45455,0.21225,0.1129,1.93924,4.42478,1.54292,0.000177251,0.000177251,0.000177251
6,811.986,2.16402,3.17685,1.72875,0.05901,0.56061,0.41971,0.19596,1.93978,4.23031,1.57001,0.000211971,0.000211971,0.000211971
7,937.439,1.9602,3.03653,1.67163,0.06289,0.60606,0.38897,0.16927,2.0193,4.21528,1.65336,0.000245929,0.000245929,0.000245929
8,1087.56,1.89627,2.66865,1.62821,0.05678,0.54545,0.38601,0.17102,2.04767,4.15315,1.77704,0.000279126,0.000279126,0.000279126
9,1213.38,1.83757,2.57617,1.65419,0.06475,0.54545,0.34115,0.15444,2.17463,4.22411,1.80166,0.000311562,0.000311562,0.000311562
10,1347.4,1.77842,2.31978,1.54354,0.08642,0.63636,0.35377,0.16311,2.11531,4.0384,1.68703,0.000343236,0.000343236,0.000343236
11,1470.69,1.8642,2.24498,1.5769,0.0835,0.62121,0.36384,0.15886,2.13707,3.8775,1.57957,0.000374149,0.000374149,0.000374149
12,1591.07,1.81062,2.28084,1.59552,0.07869,0.62121,0.41157,0.17881,2.07994,3.80421,1.60668,0.000404301,0.000404301,0.000404301
13,1710.58,1.70538,2.15333,1.5389,0.07118,0.62121,0.40613,0.17193,2.08986,3.80011,1.58017,0.000433691,0.000433691,0.000433691
14,1817.21,1.77448,2.30155,1.58075,0.0535,0.63636,0.36334,0.15653,2.20671,3.67808,1.68316,0.00046232,0.00046232,0.00046232
15,1956.67,1.88477,2.25011,1.61384,0.03107,0.65152,0.31277,0.12815,2.19684,3.68585,1.73229,0.000490188,0.000490188,0.000490188
16,2038.23,1.6863,2.04118,1.54688,0.39089,0.12656,0.23604,0.09283,2.257,3.65117,1.94998,0.000517295,0.000517295,0.000517295
17,2183.4,1.69053,2.20201,1.60533,0.33755,0.23938,0.19405,0.08785,2.19428,3.41444,2.12622,0.00054364,0.00054364,0.00054364
18,2295.99,1.62668,2.02789,1.55172,0.29218,0.28788,0.17669,0.08202,2.12646,3.40163,2.10141,0.000569224,0.000569224,0.000569224
19,2450.33,1.68619,1.9405,1.57462,0.28549,0.24242,0.1679,0.08685,2.14495,3.47068,2.06363,0.000594046,0.000594046,0.000594046
20,2566.69,1.61016,1.87827,1.54167,0.25527,0.24242,0.1533,0.05409,2.2524,3.59328,1.92491,0.000618108,0.000618108,0.000618108
21,2676.39,1.59899,1.94215,1.48284,0.28017,0.24242,0.1753,0.06389,2.23296,3.27793,1.86341,0.000616738,0.000616738,0.000616738
22,2785.91,1.56408,1.73686,1.38947,0.2994,0.28788,0.21901,0.08499,2.21366,3.23235,1.826,0.000609125,0.000609125,0.000609125
23,2913.03,1.47479,1.80233,1.43215,0.33081,0.43939,0.22773,0.07263,2.43732,3.27798,2.00151,0.000601512,0.000601512,0.000601512
24,3042.32,1.60929,1.80244,1.43566,0.46536,0.35616,0.26314,0.10858,2.40149,3.004,2.14467,0.000593899,0.000593899,0.000593899
25,3151.71,1.5424,1.63139,1.3764,0.44273,0.36364,0.28264,0.12134,2.36467,3.03801,2.12321,0.000586286,0.000586286,0.000586286
26,3272.11,1.5018,1.62974,1.37174,0.43225,0.40909,0.27071,0.10776,2.30065,3.08636,2.13814,0.000578672,0.000578672,0.000578672
27,3372.47,1.57323,1.69438,1.3897,0.44184,0.36364,0.22914,0.08024,2.42878,3.39912,2.189,0.000571059,0.000571059,0.000571059
28,3517.29,1.50086,1.64499,1.37388,0.47054,0.33333,0.33081,0.12554,2.42626,3.11689,2.29402,0.000563446,0.000563446,0.000563446
29,3630.89,1.50204,1.59211,1.39472,0.46899,0.36134,0.36101,0.11895,2.46527,3.01662,2.39067,0.000555833,0.000555833,0.000555833
30,3731.68,1.45879,1.60774,1.31819,0.62119,0.25758,0.28352,0.08425,2.5281,3.1914,2.42134,0.00054822,0.00054822,0.00054822
31,3808.02,1.53669,1.53413,1.37498,0.49006,0.25758,0.22859,0.07291,2.54523,3.49135,2.43117,0.000540607,0.000540607,0.000540607
32,3946.47,1.43118,1.57946,1.34581,0.59095,0.28788,0.28853,0.10085,2.56719,2.98519,2.50033,0.000532994,0.000532994,0.000532994
33,4104.76,1.42903,1.59731,1.32239,0.58238,0.31697,0.29332,0.10942,2.48908,2.90609,2.45579,0.000525381,0.000525381,0.000525381
34,4229.42,1.34559,1.37475,1.27138,0.55877,0.34848,0.30548,0.11646,2.45098,2.85762,2.3704,0.000517768,0.000517768,0.000517768
35,4341.9,1.33307,1.34945,1.25109,0.55477,0.36364,0.32517,0.13037,2.35907,2.80012,2.29456,0.000510155,0.000510155,0.000510155
36,4408.47,1.34405,1.37345,1.28938,0.71827,0.34848,0.34186,0.14728,2.27026,2.89129,2.26463,0.000502541,0.000502541,0.000502541
37,4449.58,1.29902,1.30337,1.20974,0.55393,0.34848,0.30117,0.12815,2.25744,2.88679,2.22529,0.000494928,0.000494928,0.000494928
38,4489.7,1.31978,1.3564,1.25171,0.66751,0.36364,0.35758,0.14306,2.2015,2.96276,2.1232,0.000487315,0.000487315,0.000487315
39,4528.76,1.18993,1.33564,1.20608,0.692,0.39394,0.39224,0.16215,2.19105,2.82299,2.15658,0.000479702,0.000479702,0.000479702
40,4567.93,1.25325,1.3454,1.22177,0.55705,0.43939,0.404,0.15422,2.46159,2.71781,2.39462,0.000472089,0.000472089,0.000472089
41,4605.65,1.3004,1.27133,1.24328,0.61614,0.36364,0.37615,0.1664,2.47176,2.61823,2.4194,0.000464476,0.000464476,0.000464476
