epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.6719,2.92922,3.49977,2.3531,0.00299,0.09286,0.01392,0.00446,3.14689,3.58585,2.75485,6e-05,6e-05,6e-05
2,61.3201,2.72575,3.37145,2.12866,0.00356,0.11071,0.01754,0.00614,2.96399,3.55911,2.41209,0.00013307,0.00013307,0.00013307
3,92.9706,2.70567,3.30021,1.98648,0.00793,0.24643,0.03629,0.01136,2.71694,3.4908,2.05487,0.00019822,0.00019822,0.00019822
4,124.808,2.47399,3.04278,1.78523,0.01966,0.61071,0.06118,0.01879,2.54476,3.3588,1.82606,0.00025545,0.00025545,0.00025545
5,156.152,2.4598,2.77738,1.75675,0.02011,0.625,0.0598,0.01842,2.46783,3.31941,1.77452,0.00030476,0.00030476,0.00030476
6,187.215,2.45441,2.5852,1.69857,0.02034,0.63214,0.06058,0.02235,2.37516,3.27894,1.70953,0.00034615,0.00034615,0.00034615
7,218.319,2.44916,2.46589,1.65185,0.02046,0.63571,0.06395,0.02252,2.36294,3.23515,1.72462,0.00037962,0.00037962,0.00037962
8,249.951,2.40778,2.32755,1.59359,0.02276,0.70714,0.07889,0.02461,2.41471,3.13769,1.7133,0.00040517,0.00040517,0.00040517
9,281.425,2.44892,2.20532,1.6443,0.02069,0.64286,0.07511,0.02429,2.39608,3.0677,1.76076,0.0004228,0.0004228,0.0004228
10,313.187,2.36065,2.11675,1.5888,0.01897,0.58929,0.07382,0.02816,2.37757,3.07129,1.77768,0.00043251,0.00043251,0.00043251
11,344.533,2.45937,2.39173,1.66738,0.01782,0.55357,0.09926,0.03509,2.37419,3.01615,1.78032,0.0004343,0.0004343,0.0004343
12,376.59,2.41542,2.29847,1.69071,0.01782,0.55357,0.12551,0.03637,2.42919,2.99443,1.83337,0.00042817,0.00042817,0.00042817
13,402.476,2.4488,2.25707,1.64832,0.02069,0.64286,0.1349,0.03864,2.4561,2.95297,1.8027,0.00041412,0.00041412,0.00041412
14,427.376,2.39724,2.25674,1.66466,0.02172,0.675,0.15595,0.04334,2.41864,2.9196,1.7562,0.00039215,0.00039215,0.00039215
15,457.353,2.33311,2.2279,1.63328,0.02069,0.64286,0.10885,0.03584,2.4034,2.95208,1.79802,0.00036226,0.00036226,0.00036226
16,487.966,2.30664,2.17201,1.66583,0.03486,0.47143,0.12158,0.04056,2.38687,2.93089,1.79491,0.00032445,0.00032445,0.00032445
17,518.716,2.33368,2.13631,1.60311,0.13489,0.32857,0.14384,0.04795,2.3653,2.88637,1.77197,0.00027872,0.00027872,0.00027872
18,546.367,2.2524,2.11954,1.58641,0.52254,0.04643,0.19348,0.06485,2.36735,2.79526,1.73664,0.00022507,0.00022507,0.00022507
19,570.532,2.25735,2.07373,1.58963,0.82952,0.04286,0.20464,0.06903,2.37428,2.77404,1.73779,0.0001635,0.0001635,0.0001635
20,597.977,2.22041,2.10152,1.59546,0.67282,0.04411,0.21066,0.07022,2.37256,2.74314,1.73786,9.401e-05,9.401e-05,9.401e-05
