epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.0032,3.42981,4.15371,2.39576,0.0016,0.07453,0.00094,0.00027,3.63955,4.00597,2.71978,6e-05,6e-05,6e-05
2,44.6968,2.97133,3.73749,2.0149,0.00293,0.13665,0.00233,0.0006,3.31419,3.87567,2.2283,0.00013307,0.00013307,0.00013307
3,66.5941,2.86577,3.79757,1.85926,0.00427,0.19876,0.00722,0.00147,3.12185,3.76179,1.91538,0.00019822,0.00019822,0.00019822
4,87.0787,2.68326,3.44114,1.63959,0.00693,0.32298,0.00966,0.00273,2.89401,3.68665,1.6836,0.00025545,0.00025545,0.00025545
5,105.982,2.65863,3.28447,1.6301,0.0084,0.3913,0.01295,0.00374,2.78619,3.67103,1.58981,0.00030476,0.00030476,0.00030476
6,122.396,2.60231,2.98568,1.56123,0.0096,0.4472,0.04633,0.00814,2.69802,3.61314,1.53203,0.00034615,0.00034615,0.00034615
7,138.588,2.64987,2.8945,1.59509,0.00867,0.40373,0.02191,0.00559,2.63026,3.61187,1.56844,0.00037962,0.00037962,0.00037962
8,168.499,2.72465,2.75839,1.59428,0.0104,0.48447,0.03268,0.00734,2.71764,3.57618,1.60135,0.00040517,0.00040517,0.00040517
9,261.714,2.58127,2.66942,1.61031,0.01107,0.51553,0.03187,0.0077,2.70685,3.53028,1.56238,0.0004228,0.0004228,0.0004228
10,374.1,2.43299,2.34009,1.49371,0.01173,0.54658,0.02869,0.00819,2.64182,3.44374,1.56,0.00043251,0.00043251,0.00043251
11,474.811,2.51365,3.2758,1.5946,0.01067,0.49689,0.02688,0.00637,2.66475,3.39939,1.58713,0.0004343,0.0004343,0.0004343
12,557.739,2.53581,3.02345,1.63241,0.01187,0.5528,0.02185,0.00542,2.6635,3.38587,1.59121,0.00042817,0.00042817,0.00042817
13,650.599,2.40209,2.63882,1.58552,0.01187,0.5528,0.02134,0.00582,2.63814,3.37292,1.57966,0.00041412,0.00041412,0.00041412
14,736.621,2.50521,2.61946,1.62458,0.01227,0.57143,0.01911,0.00471,2.6355,3.35422,1.58871,0.00039215,0.00039215,0.00039215
15,810.652,2.29308,2.62615,1.57484,0.0108,0.50311,0.01861,0.00539,2.67937,3.35854,1.64968,0.00036226,0.00036226,0.00036226
16,877.081,2.24142,2.52784,1.4619,0.00987,0.45963,0.02583,0.00635,2.70729,3.33335,1.70584,0.00032445,0.00032445,0.00032445
17,935.609,2.33,2.58875,1.53346,0.37132,0.01863,0.0323,0.00689,2.69392,3.33081,1.73766,0.00027872,0.00027872,0.00027872
18,1000.18,2.29723,2.61803,1.56011,0.36046,0.01242,0.03695,0.00839,2.59082,3.24458,1.65596,0.00022507,0.00022507,0.00022507
19,1070.42,2.36379,2.69131,1.50054,0.46,0.01242,0.03919,0.0111,2.54285,3.18725,1.59363,0.0001635,0.0001635,0.0001635
20,1167.39,2.29757,2.98101,1.46174,0.74939,0.01859,0.04465,0.01311,2.53037,3.13097,1.57973,9.401e-05,9.401e-05,9.401e-05
