epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.9731,2.91274,3.36664,2.81594,0.00919,0.10667,0.00527,0.00123,2.95355,3.47092,3.50862,4e-05,4e-05,4e-05
2,25.7267,2.89881,3.47819,2.74516,0.0171,0.02667,0.00552,0.0013,2.96209,3.45335,3.5123,9.967e-05,9.967e-05,9.967e-05
3,28.9699,3.061,3.35086,2.68738,0.04123,0.17333,0.0187,0.0041,2.89718,12.5335,3.05916,0.000158944,0.000158944,0.000158944
4,32.1713,2.6573,2.95814,2.44127,0.02313,0.12,0.01354,0.00326,2.87674,5.08996,2.98533,0.000217822,0.000217822,0.000217822
5,35.0857,2.41558,2.78851,2.33018,0.04168,0.18667,0.02543,0.00638,2.89377,3.06424,2.9307,0.000276304,0.000276304,0.000276304
6,40.7917,2.52944,2.7293,2.19844,0.07494,0.08,0.02077,0.0055,3.51308,6.4851,3.9603,0.00033439,0.00033439,0.00033439
7,44.2977,2.39814,2.69922,2.20435,0.17246,0.13899,0.0642,0.0148,2.9718,4.35143,3.8406,0.00039208,0.00039208,0.00039208
8,52.4811,2.44476,2.60102,2.22941,0.07317,0.17333,0.06616,0.01508,3.00149,7.91027,4.357,0.000449374,0.000449374,0.000449374
9,56.5528,2.4707,2.76564,2.24418,0.07545,0.12,0.03031,0.00701,2.84901,3.95785,3.38793,0.000506272,0.000506272,0.000506272
10,60.0458,2.27971,2.6717,2.1952,0.07885,0.13333,0.03488,0.00908,2.69085,3.69042,3.51548,0.000562774,0.000562774,0.000562774
11,64.0534,2.36825,2.57614,2.26914,0.01553,0.14667,0.00867,0.00244,2.67951,14.412,3.71371,0.00061888,0.00061888,0.00061888
12,66.9676,2.3535,2.64289,2.20046,0.15942,0.14667,0.05015,0.01447,2.87463,20.8211,3.99096,0.00067459,0.00067459,0.00067459
13,70.4222,2.32931,2.52182,2.2527,0.06676,0.30667,0.04414,0.00813,3.20727,24.3555,7.07992,0.000729904,0.000729904,0.000729904
14,73.6819,2.44829,2.61482,2.32787,0.01663,0.30667,0.00949,0.00183,3.86001,251.802,55.3244,0.000784822,0.000784822,0.000784822
15,76.668,2.3069,2.59018,2.27189,0.00239,0.21333,0.00056,8e-05,nan,nan,nan,0.000839344,0.000839344,0.000839344
