epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.2057,3.02583,3.48944,2.68224,0.00681,0.65333,0.01462,0.00414,2.87948,3.42285,3.10872,4e-05,4e-05,4e-05
2,53.9536,3.0376,3.451,2.71607,0.00694,0.66667,0.02067,0.0055,2.8616,3.40773,3.03873,9.505e-05,9.505e-05,9.505e-05
3,74.5798,2.75342,3.31488,2.53703,0.00694,0.66667,0.02006,0.00516,2.84808,3.40074,2.96425,0.00014416,0.00014416,0.00014416
4,94.8638,2.58605,3.28887,2.4264,0.00764,0.73333,0.03934,0.0084,2.65845,3.36419,2.74375,0.00018733,0.00018733,0.00018733
5,115.228,2.54923,3.1638,2.30777,0.00806,0.77333,0.04689,0.01578,2.61813,3.33439,2.666,0.00022456,0.00022456,0.00022456
6,135.588,2.39744,2.9409,2.25105,0.00819,0.78667,0.05881,0.01681,2.65919,3.25033,2.56601,0.00025585,0.00025585,0.00025585
7,155.97,2.28226,2.79999,2.11571,0.00847,0.81333,0.06225,0.01794,2.52437,3.17082,2.41445,0.0002812,0.0002812,0.0002812
8,176.101,2.19206,2.76246,2.05799,0.00833,0.8,0.07575,0.02003,2.43938,3.15343,2.36533,0.00030061,0.00030061,0.00030061
9,193.374,2.23484,2.7713,2.08091,0.00806,0.77333,0.09278,0.02339,2.31458,3.12736,2.32866,0.00031408,0.00031408,0.00031408
10,208.127,2.21568,2.80313,2.12015,0.00819,0.78667,0.0955,0.02569,2.27681,3.09933,2.30684,0.00032161,0.00032161,0.00032161
11,224.068,2.34871,3.383,2.2533,0.00778,0.74667,0.08369,0.02163,2.38837,3.12858,2.4127,0.0003232,0.0003232,0.0003232
12,241.694,2.1915,3.13991,2.11826,0.00764,0.73333,0.07502,0.02015,2.43713,3.17274,2.48774,0.00031885,0.00031885,0.00031885
13,261.754,2.14167,3.18024,2.22399,0.00806,0.77333,0.0566,0.01371,2.40096,3.21282,2.49462,0.00030856,0.00030856,0.00030856
14,281.335,2.12542,2.96895,2.08457,0.00847,0.81333,0.06047,0.01401,2.3746,3.21629,2.46527,0.00029233,0.00029233,0.00029233
15,301.021,2.1517,2.96551,2.04886,0.00819,0.78667,0.06482,0.01659,2.29616,3.19624,2.4438,0.00027016,0.00027016,0.00027016
16,320.166,1.98494,2.91909,2.02512,0.00847,0.81333,0.07531,0.02041,2.29762,3.15827,2.41992,0.00024205,0.00024205,0.00024205
17,339.466,2.11135,2.87961,2.04945,0.00847,0.81333,0.08184,0.02458,2.23129,3.09444,2.3449,0.000208,0.000208,0.000208
18,359.343,2.01542,2.75893,1.92897,0.00833,0.8,0.08061,0.02515,2.17993,3.04842,2.28381,0.00016801,0.00016801,0.00016801
19,378.713,2.00817,2.6825,1.93634,0.00847,0.81333,0.09793,0.02849,2.17394,3.02093,2.28199,0.00012208,0.00012208,0.00012208
20,398.337,2.0014,2.63566,1.93877,0.00847,0.81333,0.10919,0.03041,2.1357,2.99034,2.26309,7.021e-05,7.021e-05,7.021e-05
