epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.0798,3.02583,3.48944,2.68224,0.00681,0.65333,0.01462,0.00414,2.87948,3.42285,3.10872,4e-05,4e-05,4e-05
2,50.5928,3.03607,3.45137,2.7129,0.00694,0.66667,0.02176,0.00577,2.87407,3.40134,3.05002,9.901e-05,9.901e-05,9.901e-05
3,75.9791,2.7422,3.30438,2.52714,0.00736,0.70667,0.02067,0.00541,2.83009,3.3869,2.92514,0.000156832,0.000156832,0.000156832
4,100.621,2.59242,3.25659,2.41995,0.00792,0.76,0.04099,0.00909,2.5818,3.34835,2.68538,0.000213466,0.000213466,0.000213466
5,124.193,2.46067,3.15893,2.24993,0.00792,0.76,0.0431,0.01424,2.53765,3.35494,2.72924,0.000268912,0.000268912,0.000268912
6,147.651,2.34967,2.91511,2.24242,0.00778,0.74667,0.03588,0.00902,2.59978,3.33699,2.90196,0.00032317,0.00032317,0.00032317
7,168.538,2.24939,2.77376,2.13774,0.00764,0.73333,0.06456,0.01272,2.50802,3.28626,2.72104,0.00037624,0.00037624,0.00037624
8,193.489,2.18884,2.72962,2.09099,0.00764,0.73333,0.06049,0.01561,2.3843,3.27776,2.60509,0.000428122,0.000428122,0.000428122
9,218.372,2.21681,2.73476,2.14694,0.0075,0.72,0.09651,0.02974,2.38021,3.20684,2.53944,0.000478816,0.000478816,0.000478816
10,243.162,2.20386,2.73569,2.18891,0.0075,0.72,0.09389,0.034,2.4394,3.15468,2.50773,0.000528322,0.000528322,0.000528322
11,271.053,2.1518,2.64001,2.0702,0.00764,0.73333,0.0657,0.01544,2.6019,3.17346,2.6058,0.00057664,0.00057664,0.00057664
12,296.753,2.16655,2.57193,2.07367,0.00778,0.74667,0.06042,0.01428,2.64954,3.16289,2.59647,0.00062377,0.00062377,0.00062377
13,322.109,2.10019,2.5192,1.96675,0.00875,0.84,0.05793,0.01886,2.48773,3.09328,2.41421,0.000669712,0.000669712,0.000669712
14,347.175,2.15347,2.43326,2.00351,0.00833,0.8,0.05888,0.0184,2.39363,3.06765,2.43168,0.000714466,0.000714466,0.000714466
15,373.95,2.09675,2.58096,2.06707,0.00861,0.82667,0.06881,0.01741,2.24936,2.98807,2.4681,0.000758032,0.000758032,0.000758032
16,399.229,2.1522,2.44569,2.02733,0.00806,0.77333,0.03351,0.01,2.34119,3.13153,2.73262,0.00080041,0.00080041,0.00080041
17,423.712,2.09217,2.40436,1.98683,0.12062,0.02667,0.07289,0.01953,2.38717,2.98834,2.6909,0.0008416,0.0008416,0.0008416
18,449.799,2.01085,2.33253,1.9339,0.15436,0.09333,0.0878,0.02115,2.48403,2.9496,2.74658,0.000881602,0.000881602,0.000881602
19,477.017,2.00746,2.35853,1.94863,0.18293,0.22667,0.09855,0.02364,2.43244,2.8489,2.73729,0.000920416,0.000920416,0.000920416
20,500.015,2.12704,2.26177,1.9658,0.23311,0.14667,0.12049,0.02682,2.48888,2.82048,2.76687,0.000958042,0.000958042,0.000958042
21,518.06,1.98397,2.1709,1.9008,0.1953,0.18667,0.12288,0.03391,2.50484,2.72765,2.75342,0.00099448,0.00099448,0.00099448
