epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.3629,3.3656,4.03344,2.44113,0.00158,0.08036,0.00122,0.00031,2.74119,3.88569,2.39904,4e-05,4e-05,4e-05
2,38.1508,3.02412,3.9178,2.17435,0.00649,0.33036,0.00495,0.00146,2.65651,3.69255,2.18794,9.901e-05,9.901e-05,9.901e-05
3,56.0828,2.55787,3.57213,1.91866,0.01088,0.55357,0.02013,0.00604,2.39394,3.43706,1.84169,0.000156832,0.000156832,0.000156832
4,74.1248,2.40993,3.48486,1.76798,0.01526,0.77679,0.11471,0.05173,2.20356,3.3045,1.60057,0.000213466,0.000213466,0.000213466
5,92.1607,2.45029,3.14869,1.67239,0.01684,0.85714,0.17263,0.0699,2.22855,3.27105,1.52469,0.000268912,0.000268912,0.000268912
6,109.754,2.25679,2.68071,1.52773,0.01649,0.83929,0.17231,0.06605,2.23837,3.27889,1.54423,0.00032317,0.00032317,0.00032317
7,126.748,2.23929,2.55508,1.51121,0.01684,0.85714,0.14665,0.04249,2.14657,3.2704,1.53415,0.00037624,0.00037624,0.00037624
8,143.862,2.15556,2.38265,1.47086,0.01737,0.88393,0.15946,0.0425,2.1273,3.24555,1.50248,0.000428122,0.000428122,0.000428122
9,161.522,2.19048,2.29715,1.47536,0.01754,0.89286,0.15493,0.04403,2.06254,3.18672,1.45427,0.000478816,0.000478816,0.000478816
10,179.085,2.34147,2.17418,1.48137,0.01737,0.88393,0.14442,0.03541,2.15322,3.16586,1.49846,0.000528322,0.000528322,0.000528322
11,196.829,2.18505,2.08,1.46011,0.01702,0.86607,0.1102,0.03436,2.02786,3.14819,1.46367,0.00057664,0.00057664,0.00057664
12,214.339,2.0787,2.11922,1.42903,0.01702,0.86607,0.10153,0.02429,2.07164,3.09661,1.50133,0.00062377,0.00062377,0.00062377
13,232.138,2.17639,2.16728,1.50822,0.01754,0.89286,0.08725,0.03241,2.36986,3.16156,1.59951,0.000669712,0.000669712,0.000669712
14,249.617,2.02158,1.99528,1.44415,0.01702,0.86607,0.08211,0.0268,2.30505,3.11303,1.61397,0.000714466,0.000714466,0.000714466
15,265.313,2.07932,2.12444,1.4878,0.01667,0.84821,0.18152,0.0519,2.14973,3.00743,1.59605,0.000758032,0.000758032,0.000758032
16,279.35,2.1015,2.22064,1.57972,0.01632,0.83036,0.14139,0.03519,2.31762,3.08772,1.72342,0.00080041,0.00080041,0.00080041
17,293.04,2.11466,2.02052,1.50808,0.01579,0.80357,0.12204,0.04123,2.23203,3.11008,1.66223,0.0008416,0.0008416,0.0008416
18,306.339,2.00528,2.15864,1.48366,0.0183,0.55357,0.10849,0.0417,2.30442,3.11707,1.73831,0.000881602,0.000881602,0.000881602
19,320.052,2.11371,1.99892,1.51069,0.28676,0.19643,0.12843,0.04998,2.33021,3.06028,1.81002,0.000920416,0.000920416,0.000920416
20,333.408,2.05073,1.98331,1.51197,0.25115,0.33929,0.17317,0.06655,2.21666,2.93997,1.79551,0.000958042,0.000958042,0.000958042
21,346.653,2.0688,1.85147,1.52724,0.37825,0.30357,0.22764,0.08751,2.11497,2.77784,1.64611,0.00099448,0.00099448,0.00099448
22,359.955,2.24669,1.87983,1.55956,0.49004,0.1202,0.30983,0.10161,2.13901,2.66103,1.71577,0.00102973,0.00102973,0.00102973
23,372.637,2.00098,2.09968,1.57476,0.49014,0.30357,0.34163,0.11444,2.1506,2.57109,1.74481,0.00106379,0.00106379,0.00106379
24,385.621,2.02679,1.82531,1.49156,0.50833,0.31388,0.38677,0.1105,2.19866,2.52109,1.76235,0.00109667,0.00109667,0.00109667
25,401.173,2.03972,1.89574,1.46238,0.54455,0.3125,0.35204,0.10936,2.20928,2.53893,1.75038,0.00112835,0.00112835,0.00112835
26,418.09,1.97187,1.84836,1.47202,0.51991,0.33929,0.36613,0.11824,2.11801,2.53787,1.63957,0.00115885,0.00115885,0.00115885
27,435.225,1.92992,1.84947,1.40263,0.47149,0.41964,0.35034,0.10983,2.11274,2.47787,1.6342,0.00118816,0.00118816,0.00118816
28,452.103,1.97255,1.8302,1.44126,0.47283,0.5,0.39543,0.12312,2.06401,2.36034,1.5482,0.00121628,0.00121628,0.00121628
29,469.227,1.90511,1.75884,1.38197,0.47283,0.5,0.39543,0.12312,2.06401,2.36034,1.5482,0.00124322,0.00124322,0.00124322
30,486.425,1.94729,1.68173,1.34858,0.45854,0.5625,0.40549,0.13237,2.11382,2.26708,1.5813,0.00126896,0.00126896,0.00126896
31,503.732,1.95457,1.70536,1.36791,0.49222,0.57143,0.47613,0.1572,2.16642,2.22061,1.60743,0.00129352,0.00129352,0.00129352
32,520.717,1.96776,1.76052,1.39326,0.45528,0.45536,0.42571,0.17036,2.10038,2.2021,1.62123,0.00131689,0.00131689,0.00131689
33,537.602,1.89507,1.73671,1.35254,0.45528,0.45536,0.42571,0.17036,2.10038,2.2021,1.62123,0.00133907,0.00133907,0.00133907
34,554.619,1.8859,1.79805,1.37229,0.47974,0.39521,0.36583,0.15176,2.11085,2.27317,1.64095,0.0013466,0.0013466,0.0013466
35,571.394,1.91354,1.72711,1.41325,0.40444,0.25469,0.26458,0.10596,2.26023,2.46955,1.73667,0.0013268,0.0013268,0.0013268
36,588.044,1.89611,1.84426,1.40259,0.53892,0.27679,0.35101,0.13023,2.1546,2.43519,1.6416,0.001307,0.001307,0.001307
37,604.449,1.84224,1.70228,1.39761,0.53892,0.27679,0.35101,0.13023,2.1546,2.43519,1.6416,0.0012872,0.0012872,0.0012872
38,621.074,1.85921,1.68186,1.422,0.54135,0.34777,0.361,0.1359,2.20269,2.36882,1.68086,0.0012674,0.0012674,0.0012674
39,638.235,1.82128,1.7673,1.36582,0.46055,0.34821,0.34084,0.11394,2.27689,2.28691,1.75595,0.0012476,0.0012476,0.0012476
40,655.496,1.91366,1.66177,1.42655,0.44165,0.38393,0.35148,0.11333,2.27031,2.27151,1.73402,0.0012278,0.0012278,0.0012278
41,672.18,1.93014,1.65883,1.46313,0.44165,0.38393,0.35148,0.11333,2.27031,2.27151,1.73402,0.001208,0.001208,0.001208
42,688.943,1.7199,1.53478,1.35533,0.42963,0.45062,0.36322,0.12486,2.26996,2.19521,1.7183,0.0011882,0.0011882,0.0011882
43,706.428,1.79434,1.54026,1.41439,0.4274,0.52679,0.42263,0.13966,2.25252,2.04535,1.70793,0.0011684,0.0011684,0.0011684
44,723.266,1.78508,1.52834,1.29868,0.41421,0.52403,0.39116,0.11947,2.2671,2.02385,1.73035,0.0011486,0.0011486,0.0011486
45,740.012,1.99584,1.68899,1.39571,0.41421,0.52403,0.39116,0.11947,2.2671,2.02385,1.73035,0.0011288,0.0011288,0.0011288
46,757.073,1.7795,1.55364,1.36797,0.44791,0.54464,0.47095,0.15918,2.16161,1.93265,1.63248,0.001109,0.001109,0.001109
47,773.977,1.69825,1.50788,1.26287,0.56153,0.54464,0.51244,0.17047,2.18219,1.96697,1.67568,0.0010892,0.0010892,0.0010892
48,791.203,1.80129,1.62427,1.36342,0.51364,0.47321,0.47192,0.16778,2.19047,1.99042,1.65566,0.0010694,0.0010694,0.0010694
49,808.577,1.74242,1.43155,1.28173,0.51364,0.47321,0.47192,0.16778,2.19047,1.99042,1.65566,0.0010496,0.0010496,0.0010496
50,825.114,1.71098,1.45572,1.26328,0.55627,0.43654,0.46917,0.16763,2.1662,2.0078,1.62896,0.0010298,0.0010298,0.0010298
51,841.969,1.67408,1.43407,1.27172,0.50009,0.45536,0.48209,0.18619,2.13222,1.97999,1.62043,0.00101,0.00101,0.00101
52,858.562,1.69721,1.46004,1.31113,0.57948,0.49215,0.51081,0.18905,2.16325,1.94279,1.64239,0.0009902,0.0009902,0.0009902
53,875.184,1.80829,1.39948,1.28675,0.57948,0.49215,0.51081,0.18905,2.16325,1.94279,1.64239,0.0009704,0.0009704,0.0009704
54,892.243,1.6526,1.36017,1.29887,0.51708,0.5625,0.51065,0.20355,2.13742,1.82971,1.6234,0.0009506,0.0009506,0.0009506
55,908.911,1.64426,1.59313,1.27533,0.49891,0.55357,0.48699,0.20205,2.13171,1.77795,1.64115,0.0009308,0.0009308,0.0009308
56,925.742,1.70759,1.38093,1.32054,0.53783,0.5625,0.48386,0.18832,2.15831,1.82028,1.63027,0.000911,0.000911,0.000911
57,942.835,1.64448,1.32033,1.29124,0.53783,0.5625,0.48386,0.18832,2.15831,1.82028,1.63027,0.0008912,0.0008912,0.0008912
58,960.033,1.65407,1.41458,1.33742,0.55535,0.56874,0.48776,0.16736,2.27782,1.9006,1.68205,0.0008714,0.0008714,0.0008714
59,977.052,1.66022,1.4721,1.29229,0.55655,0.49107,0.45977,0.14461,2.36126,1.90362,1.75366,0.0008516,0.0008516,0.0008516
60,993.85,1.55161,1.28564,1.22799,0.51961,0.5625,0.46807,0.16157,2.2992,1.79942,1.76687,0.0008318,0.0008318,0.0008318
61,1011.08,1.55635,1.31601,1.22385,0.51961,0.5625,0.46807,0.16157,2.2992,1.79942,1.76687,0.000812,0.000812,0.000812
62,1027.41,1.64098,1.2819,1.24339,0.53802,0.64286,0.53194,0.1788,2.28536,1.75129,1.74938,0.0007922,0.0007922,0.0007922
63,1043.98,1.53668,1.49258,1.20495,0.53601,0.66964,0.53858,0.19474,2.24715,1.71319,1.69413,0.0007724,0.0007724,0.0007724
64,1060.2,1.70262,1.55838,1.33079,0.53474,0.61607,0.49809,0.1944,2.2108,1.74216,1.65994,0.0007526,0.0007526,0.0007526
65,1076.95,1.51744,1.22055,1.19802,0.53474,0.61607,0.49809,0.1944,2.2108,1.74216,1.65994,0.0007328,0.0007328,0.0007328
66,1094.11,1.50229,1.28934,1.22369,0.5083,0.64286,0.49545,0.18729,2.23115,1.75863,1.69067,0.000713,0.000713,0.000713
67,1111.29,1.56974,1.39767,1.292,0.53995,0.58929,0.4889,0.17912,2.30337,1.76286,1.7489,0.0006932,0.0006932,0.0006932
68,1128.38,1.44832,1.24352,1.15607,0.52588,0.57441,0.47837,0.1741,2.30224,1.75782,1.73303,0.0006734,0.0006734,0.0006734
69,1145.47,1.53912,1.26537,1.2183,0.52588,0.57441,0.47837,0.1741,2.30224,1.75782,1.73303,0.0006536,0.0006536,0.0006536
70,1162.86,1.60581,1.25518,1.20083,0.4753,0.61607,0.45349,0.16455,2.27181,1.73743,1.70992,0.0006338,0.0006338,0.0006338
71,1180.03,1.50645,1.21073,1.21195,0.47192,0.63835,0.45093,0.15686,2.25693,1.76076,1.70111,0.000614,0.000614,0.000614
72,1197.01,1.67902,1.41603,1.26013,0.4924,0.60714,0.45679,0.14867,2.27169,1.79951,1.69061,0.0005942,0.0005942,0.0005942
73,1213.66,1.48958,1.28326,1.1961,0.4924,0.60714,0.45679,0.14867,2.27169,1.79951,1.69061,0.0005744,0.0005744,0.0005744
74,1231,1.51222,1.21609,1.20983,0.41998,0.66964,0.43788,0.14106,2.30192,1.84641,1.70765,0.0005546,0.0005546,0.0005546
75,1247.94,1.53236,1.19906,1.21852,0.44536,0.60714,0.43455,0.1497,2.29422,1.85283,1.70875,0.0005348,0.0005348,0.0005348
76,1264.89,1.57334,1.28855,1.24119,0.45464,0.59821,0.42716,0.15321,2.27266,1.83131,1.67587,0.000515,0.000515,0.000515
