epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.9917,3.05225,3.95004,2.28732,0.00246,0.125,0.00179,0.00045,2.64179,3.85017,2.32767,4e-05,4e-05,4e-05
2,35.3699,2.94973,3.84671,2.14445,0.00825,0.41964,0.01227,0.00582,2.45486,3.62989,2.00288,9.505e-05,9.505e-05,9.505e-05
3,51.9616,2.54968,3.41835,1.92564,0.01298,0.66071,0.04504,0.01844,2.24744,3.39321,1.73659,0.00014416,0.00014416,0.00014416
4,69.7601,2.39907,3.19632,1.75357,0.01544,0.78571,0.13712,0.0525,2.15306,3.24576,1.63627,0.00018733,0.00018733,0.00018733
5,87.7204,2.44814,2.70769,1.69359,0.01719,0.875,0.20456,0.08221,2.11673,3.08065,1.51195,0.00022456,0.00022456,0.00022456
6,105.845,2.28843,2.30823,1.57747,0.01789,0.91071,0.22072,0.08301,2.10104,3.0358,1.43281,0.00025585,0.00025585,0.00025585
7,123.736,2.28039,2.25231,1.57313,0.01754,0.89286,0.21206,0.06498,2.06063,3.04897,1.43935,0.0002812,0.0002812,0.0002812
8,141.336,2.1731,2.22104,1.53855,0.01789,0.91071,0.1931,0.06102,2.04875,3.05045,1.45084,0.00030061,0.00030061,0.00030061
9,158.553,2.18265,2.15245,1.49505,0.01702,0.86607,0.16629,0.06234,2.02287,3.09421,1.46662,0.00031408,0.00031408,0.00031408
10,215.642,2.27495,2.12362,1.50542,0.01684,0.85714,0.17146,0.05741,2.03658,3.12654,1.47875,0.00032161,0.00032161,0.00032161
11,270.159,2.10615,2.27368,1.53149,0.01544,0.78571,0.1337,0.04305,2.06264,3.18518,1.50717,0.0003232,0.0003232,0.0003232
12,312.407,2.06005,2.37093,1.47787,0.01456,0.74107,0.12337,0.04514,2.05586,3.23249,1.53902,0.00031885,0.00031885,0.00031885
13,382.493,2.12466,2.31936,1.45909,0.01281,0.65179,0.13779,0.05065,2.02023,3.24937,1.56422,0.00030856,0.00030856,0.00030856
14,422.65,1.94585,2.17814,1.39776,0.01316,0.66964,0.12292,0.04754,1.99927,3.23852,1.57995,0.00029233,0.00029233,0.00029233
15,463.533,1.92611,2.17699,1.46143,0.01228,0.625,0.11448,0.04111,2.00488,3.24402,1.60605,0.00027016,0.00027016,0.00027016
16,520.686,1.98737,2.0491,1.53185,0.01298,0.66071,0.10709,0.04076,2.00818,3.21424,1.61345,0.00024205,0.00024205,0.00024205
17,535.924,2.01005,2.11722,1.47029,0.01386,0.70536,0.13043,0.04815,1.98775,3.13269,1.58634,0.000208,0.000208,0.000208
18,550.221,1.89915,1.90399,1.44022,0.01421,0.72321,0.1508,0.05692,1.98694,3.09356,1.57382,0.00016801,0.00016801,0.00016801
19,566.906,1.88033,1.95092,1.41877,0.01439,0.73214,0.17897,0.07103,1.9895,3.05597,1.57018,0.00012208,0.00012208,0.00012208
20,579.894,1.86462,2.05494,1.44379,0.01509,0.76786,0.195,0.07961,1.9916,3.01573,1.56443,7.021e-05,7.021e-05,7.021e-05
