epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.7061,3.81375,4.46517,2.86466,0.00048,0.04,0.0003,0.00013,3.86657,4.93868,3.01984,4e-05,4e-05,4e-05
2,136.004,3.80047,4.26691,2.68407,0.00048,0.04,0.00036,0.00014,3.66073,4.73744,2.6922,9.505e-05,9.505e-05,9.505e-05
3,222.999,3.61609,4.25475,2.44113,0.00048,0.04,0.00068,0.00031,3.43037,4.63383,2.43847,0.00014416,0.00014416,0.00014416
4,313.307,3.44682,4.17884,2.22549,0.00048,0.04,0.00092,0.00034,3.37829,4.58995,2.32541,0.00018733,0.00018733,0.00018733
5,390.075,3.33287,4.0522,1.93731,0.00048,0.04,0.00118,0.00031,3.22819,4.50469,2.20613,0.00022456,0.00022456,0.00022456
6,456.352,3.1277,3.87924,1.94205,0.00048,0.04,0.00112,0.00039,2.97384,4.40862,2.09064,0.00025585,0.00025585,0.00025585
7,533.651,2.96474,3.7397,1.87382,0.00048,0.04,0.00317,0.0008,2.85733,4.30986,2.05526,0.0002812,0.0002812,0.0002812
8,609.596,2.8749,3.62895,1.8457,0.00048,0.04,0.00995,0.0025,2.81512,4.26663,2.03207,0.00030061,0.00030061,0.00030061
9,681.777,3.07824,3.61542,1.88294,0.00048,0.04,0.02208,0.0048,2.73936,4.22023,1.98915,0.00031408,0.00031408,0.00031408
10,767.295,3.03929,3.36563,1.77631,0.00079,0.06667,0.02571,0.00577,2.78792,4.17742,1.98281,0.00032161,0.00032161,0.00032161
11,840.864,2.87151,3.61637,1.82874,0.00143,0.12,0.02647,0.00741,2.79007,4.11798,1.95522,0.0003232,0.0003232,0.0003232
12,925.208,2.87494,3.30561,1.83719,0.00159,0.13333,0.01852,0.00435,2.6356,4.04449,1.89615,0.00031885,0.00031885,0.00031885
13,1012.9,2.75205,3.13289,1.87536,0.00286,0.24,0.00498,0.00171,2.68066,3.99557,1.94736,0.00030856,0.00030856,0.00030856
14,1060.66,3.10546,3.06741,1.97752,0.00222,0.18667,0.00673,0.00191,2.71126,3.96434,1.96545,0.00029233,0.00029233,0.00029233
15,1088.93,2.98511,2.93422,1.93217,0.00444,0.37333,0.01307,0.00385,2.54898,3.84057,1.84096,0.00027016,0.00027016,0.00027016
16,1116.5,2.72112,2.95275,1.90074,0.0054,0.45333,0.01156,0.00323,2.5683,3.84156,1.82467,0.00024205,0.00024205,0.00024205
17,1150.5,2.7082,2.75358,1.80663,0.00635,0.53333,0.01503,0.00369,2.80292,3.87583,1.84742,0.000208,0.000208,0.000208
18,1183.51,2.64887,2.89725,1.80456,0.00714,0.6,0.0123,0.00341,2.7462,3.82869,1.81265,0.00016801,0.00016801,0.00016801
19,1215.52,2.67249,2.75398,1.74917,0.00651,0.54667,0.01077,0.00298,2.69923,3.76806,1.80143,0.00012208,0.00012208,0.00012208
20,1245.29,2.67647,2.61712,1.75096,0.00619,0.52,0.01097,0.003,2.65201,3.75076,1.77926,7.021e-05,7.021e-05,7.021e-05
