epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.47,2.94749,3.64369,2.40269,0.00489,0.45361,0.00383,0.00108,2.77195,3.88202,2.58059,6e-05,6e-05,6e-05
2,224.116,2.63372,3.63484,2.07207,0.00622,0.57732,0.00791,0.00226,2.52431,3.6854,2.17907,0.00013307,0.00013307,0.00013307
3,356.864,2.377,3.31376,1.84038,0.00844,0.78351,0.1844,0.04906,2.30412,3.46265,1.86273,0.00019822,0.00019822,0.00019822
4,440.574,2.27867,2.96733,1.65589,0.00911,0.84536,0.26602,0.05852,2.15446,3.40168,1.77512,0.00025545,0.00025545,0.00025545
5,572.593,2.28004,2.5872,1.57375,0.009,0.83505,0.34168,0.09436,2.13772,3.38659,1.77858,0.00030476,0.00030476,0.00030476
6,681.195,2.27207,2.46985,1.62352,0.00867,0.80412,0.3131,0.09184,2.18767,3.37047,1.83849,0.00034615,0.00034615,0.00034615
7,792.69,2.23801,2.19064,1.60147,0.00811,0.75258,0.42639,0.11481,2.20162,3.35997,1.87989,0.00037962,0.00037962,0.00037962
8,912.404,2.13783,2.11782,1.58719,0.01341,0.53608,0.36251,0.08679,2.21549,3.40299,1.93814,0.00040517,0.00040517,0.00040517
9,1014.54,2.10271,2.11184,1.61121,0.01001,0.40206,0.28256,0.06827,2.2456,3.43884,2.04345,0.0004228,0.0004228,0.0004228
10,1058.01,2.11306,1.99263,1.57268,0.00822,0.76289,0.21026,0.05616,2.20267,3.38062,1.9317,0.00043251,0.00043251,0.00043251
11,1095.62,2.11211,2.37716,1.55736,0.00767,0.71134,0.11252,0.02047,2.20659,3.55689,2.04637,0.0004343,0.0004343,0.0004343
12,1139.97,2.08397,2.35213,1.60416,0.00711,0.65979,0.07368,0.01715,2.25861,3.59861,2.11885,0.00042817,0.00042817,0.00042817
13,1181.49,2.07695,2.3153,1.61424,0.00789,0.73196,0.17559,0.04186,2.17788,3.36339,1.97157,0.00041412,0.00041412,0.00041412
14,1218.89,2.04397,2.19518,1.58509,0.01024,0.40206,0.21473,0.05488,2.1799,3.29074,1.95079,0.00039215,0.00039215,0.00039215
15,1243.21,2.05116,2.20421,1.57509,0.54609,0.16495,0.18528,0.03823,2.21611,3.36802,2.02579,0.00036226,0.00036226,0.00036226
16,1265.43,1.93659,2.09092,1.55731,0.54782,0.12371,0.14268,0.02869,2.24956,3.40573,2.08936,0.00032445,0.00032445,0.00032445
17,1287.4,1.95371,2.09205,1.55118,0.46027,0.12371,0.11291,0.02431,2.25402,3.42418,2.10924,0.00027872,0.00027872,0.00027872
18,1309.2,1.96024,2.07771,1.55653,0.52477,0.14808,0.17491,0.03484,2.25289,3.23938,2.00234,0.00022507,0.00022507,0.00022507
19,1330.73,1.95902,2.12761,1.53047,0.56985,0.17526,0.20582,0.0435,2.25143,3.13766,1.95657,0.0001635,0.0001635,0.0001635
20,1352.52,1.92971,2.01556,1.49837,0.58566,0.20619,0.25059,0.05409,2.25547,3.08525,1.93904,9.401e-05,9.401e-05,9.401e-05
